gene_name	SPOT	Profile	E10.5_Brain	E12.5_Brain	E14.5_Brain	E16.5_Brain	P0_Brain	P21_Brain	8W_Brain
DGKE	ID_41	39	0.00	0.67	1.96	2.04	1.70	2.12	2.70
SCPEP1	ID_42	3	0.00	-0.64	-0.48	-0.40	-0.71	-1.41	-0.66
MNT	ID_43	38	0.00	1.00	1.66	1.04	0.35	0.07	1.39
ITGB2	ID_44	28	0.00	0.84	0.40		0.47	2.22	3.29
HDDC2	ID_45	10	0.00	-0.51	-0.68	-0.86	-0.31	-1.34	-1.78
TPD52L1	ID_46	18	0.00	-1.41	-0.33	0.09	0.14	1.13	0.11
PEMT	ID_47	9	0.00	-1.38	-0.92	-0.73	-0.92	-0.75	-0.79
CDH1	ID_48	17	0.00	-1.80	-0.60	-0.82	-1.53	-3.40	-2.84
CDH4	ID_49	41	0.00	1.20	2.35	2.32	1.96	-0.52	-0.34
CKMT1	ID_50	39	0.00	2.50	5.26	5.82	6.42	8.02	7.47
BCL6B	ID_51	16	0.00	0.13	0.55	1.69	1.11	-1.17	-2.20
COMT	ID_54	39	0.00	-0.54	0.12	-0.01	0.40	0.86	0.67
DBT	ID_56	19	0.00	-0.72	0.13	0.32	-0.04	-0.51	0.56
DAZAP2	ID_57	11	0.00	-0.02	-0.41	-0.65	-0.31	-0.04	0.25
MCTS1	ID_58	37	0.00	0.81	0.82	0.92	1.14	0.69	0.47
TRAPPC10	ID_61	40	0.00	0.36	1.52	0.83	0.84	1.36	1.47
CCM2	ID_62	48	0.00	0.20	0.06	0.31	0.45	0.62	-0.04
FAP	ID_65	4	0.00	-4.12	-3.56	-1.55	-3.48	-1.37	-1.99
EGFL6	ID_68	10	0.00	-0.01	0.04	-0.77	-0.70	-0.76	-¡Þ
LCK	ID_69	16	0.00	-0.72	0.35	0.55	0.84	-1.40	-2.84
CTTNBP2	ID_71	39	0.00	1.69	2.57	3.19	2.44	3.00	4.29
GALNT1	ID_72	10	0.00	-0.37	-1.05	-0.74	-1.09	-1.78	-1.45
MKRN2	ID_74	49	0.00	0.31	0.94	1.19	1.11	0.88	0.80
RAF1	ID_76	16	0.00	0.37	0.46	0.63	0.45	-0.62	-1.03
SEPTIN1	ID_77	21	0.00	-0.28	-1.19	-2.08	-1.81	-2.87	-1.32
PDGFB	ID_78	39	0.00	0.12	1.16	1.09	1.41	1.79	2.14
ACVRL1	ID_79	14	0.00	-0.50	0.27	0.68	-0.30	-0.47	-0.03
TAMALIN	ID_80	25	0.00	0.09	0.47	-0.40	-0.75	2.62	2.88
ACVR1B	ID_81	49	0.00	1.50	2.31	2.00	2.04	1.71	2.35
TOM1L2	ID_82	39	0.00	1.34	2.64	2.24	2.26	3.25	4.10
ZFP385A	ID_84	30	0.00	-0.07	0.83	0.25	0.30	0.15	0.62
ITGA5	ID_85	10	0.00	-1.45	-1.80	-1.36	-1.72	-2.70	-3.32
GABRA2	ID_86	49	0.00	2.01	4.04	3.76	3.97	4.05	4.90
WDR77	ID_87	10	0.00	-0.36	-0.48	-0.45	-0.87	-1.01	-0.91
ATP5PB	ID_89	29	0.00	0.02	-0.19	-0.11	0.21	0.39	-0.45
SOX9	ID_90	44	0.00	1.07	0.01	-0.14	-1.43	-2.76	-0.44
HNRNPD	ID_91	10	0.00	-0.03	-0.48	-0.68	-1.47	-2.97	-2.55
DYNLT1C	ID_92	16	0.00	0.64	0.62	0.34	0.56	-2.04	-3.53
C1D	ID_93	16	0.00	0.07	-0.14	0.06	0.36	-0.62	-1.01
GM2A	ID_94	39	0.00	0.59	1.69	1.91	2.10	2.28	2.94
KRIT1	ID_95	12	0.00	-0.01	-0.44	-0.48	-1.80	-1.13	-0.34
CLCN4	ID_96	49	0.00	1.31	2.32	2.26	2.19	2.09	2.47
SEMA4F	ID_97	49	0.00	1.49	3.47	3.38	3.16	3.10	3.86
HK2	ID_98	10	0.00	-0.93	-3.15	-3.96	-3.56	-5.95	-4.39
MYO18A	ID_99	49	0.00	1.20	1.65	1.48	0.66	0.78	2.02
SEZ6	ID_100	49	0.00	6.01	7.11	7.07	7.10	6.22	7.03
CD52	ID_102	6	0.00	-1.68	-0.12	-2.92	-1.53	-0.21	-1.03
LOXL3	ID_105	17	0.00	-0.80	0.68	-0.08	-1.01	-1.40	-0.52
KAT2B	ID_107	30	0.00	0.81	1.43	0.93	0.63	0.83	1.73
RAB5B	ID_108	49	0.00	0.73	0.79	1.00	0.90	0.70	1.26
ICOSL	ID_110	13	0.00	-1.97	-0.82	-0.40	-0.01	0.77	1.33
SPG7	ID_111	37	0.00	0.46	0.56	0.51	1.13	0.91	0.75
SULT5A1	ID_112	3	0.00	-1.75	-1.77	-0.18	-1.70	-2.76	-1.20
RPL13	ID_113	10	0.00	-0.34	-0.90	-0.62	-0.49	-1.44	-1.89
CHMP1A	ID_114	49	0.00	0.74	0.99	1.25	1.35	1.01	0.76
RPA1	ID_115	10	0.00	-0.48	-1.45	-1.20	-1.71	-1.37	-1.71
SERPINF1	ID_116	16	0.00	-1.02	-0.75	-0.16	-0.71	-0.53	-2.13
TUBGCP3	ID_117	10	0.00	-0.21	-0.13	-0.05	-0.42	-0.63	-0.50
POLR3D	ID_118	16	0.00	0.18	-0.12	0.09	0.37	-0.22	-0.71
TCF7	ID_119	10	0.00	-0.84	-0.71	-1.08	-2.16	-3.07	-3.84
DDX3X	ID_120	10	0.00	-0.22	-0.34	-0.46	-0.86	-1.37	-1.05
SLC5A5	ID_122	39	0.00	-0.16	2.40	2.72	4.06	5.73	6.82
USP32	ID_124	39	0.00	1.09	1.45	1.56	1.35	1.69	2.21
CAR4	ID_125	13	0.00	-2.30	-1.25	-2.06	-0.18	3.12	3.22
TXNRD3	ID_126	16	0.00	-0.07	0.45	0.95	1.54	-1.17	-2.36
ZFP512B	ID_128	49	0.00	0.85	1.62	1.37	1.03	-0.38	1.05
DNAJC5	ID_129	49	0.00	0.98	1.97	1.99	1.74	1.29	1.84
TPD52L2	ID_130	34	0.00	-0.04	-0.81	-0.41	-0.30	-0.07	-0.90
BCL11A	ID_132	49	0.00	2.07	2.53	2.72	2.09	1.57	2.20
PXMP4	ID_134	18	0.00	-0.37	0.58	0.59	0.97	0.86	0.75
DLG3	ID_135	39	0.00	0.32	0.54	0.32	0.27	0.95	1.57
GNB1L	ID_136	16	0.00	-0.20	-0.42	0.10	0.59	-0.80	-0.78
DBH	ID_137	17	0.00	-1.75	2.51	0.82	1.89	-1.17	-0.62
MMP11	ID_138	10	0.00	0.11	0.07	0.35	-0.64	-5.34	-4.79
SMARCB1	ID_139	44	0.00	0.60	0.74	0.61	0.39	-0.59	-0.53
HIP1R	ID_141	39	0.00	0.84	2.04	2.39	2.44	2.40	2.76
NSUN5	ID_142	17	0.00	-0.18	-0.11	0.23	-0.21	-1.13	-0.44
TOP1MT	ID_143	9	0.00	-0.91	0.31	0.45	0.38	0.41	0.49
MMP14	ID_146	10	0.00	-0.30	0.19	-0.39	-0.11	-2.91	-3.20
SLC7A7	ID_147	14	0.00	0.01	-0.02	0.79	-0.53	-1.27	-0.71
OXA1L	ID_148	41	0.00	0.26	0.54	0.53	0.38	-0.06	-0.48
HEATR6	ID_149	17	0.00	0.34	0.94	0.14	0.06	-2.59	-0.10
CCL3	ID_150	1	0.00	-3.33	-2.77	-2.77	-0.70	-2.76	-2.20
ILF2	ID_153	10	0.00	0.08	-0.25	-0.27	-0.63	-1.77	-1.69
CHTOP	ID_154	10	0.00	0.30	-0.08	0.13	-0.07	-0.54	-0.72
