gene_name	SPOT	Profile	E10.5_Brain	E12.5_Brain	E14.5_Brain	E16.5_Brain	P0_Brain	P21_Brain	8W_Brain
GMNN	ID_1003	10	0.00	-1.05	-3.51	-3.29	-4.22	-4.57	-5.19
ACOT13	ID_1004	25	0.00	-0.39	-0.69	-0.24	-0.20	1.39	1.28
ZFP184	ID_1005	10	0.00	0.71	-0.31	-0.12	-1.82	-3.47	-2.60
CDK4	ID_1007	10	0.00	-0.37	-1.64	-1.53	-2.11	-4.22	-4.42
B4GALNT1	ID_1008	49	0.00	3.40	5.61	5.48	5.75	5.72	6.24
METTL1	ID_1009	2	0.00	-0.47	-1.12	-0.84	-0.69	-0.68	-1.24
TSPAN31	ID_1010	12	0.00	-0.21	-0.38	-0.67	-0.92	-0.68	-0.24
KIF5B	ID_1011	30	0.00	0.19	0.08	0.07	-0.35	-0.07	0.96
SAAL1	ID_1012	10	0.00	-0.52	-1.57	-1.17	-1.50	-2.07	-2.47
CNP	ID_1015	39	0.00	0.58	1.74	1.83	2.98	6.45	5.85
ODAD4	ID_1016	8	0.00	-1.16	-0.28	-0.28	0.28	-0.59	0.29
SULF2	ID_1017	17	0.00	-0.44	0.72	0.11	0.17	-0.43	-0.02
SOD2	ID_1018	39	0.00	0.26	0.56	0.61	0.74	1.13	1.31
TMCO6	ID_1019	20	0.00	0.32	-0.54	-0.26	-0.35	-0.25	0.09
STAMBP	ID_1020	49	0.00	1.07	2.11	1.84	2.16	1.45	1.37
EZH1	ID_1021	39	0.00	1.22	2.32	2.25	2.19	2.60	3.29
HAP1	ID_1022	41	0.00	1.58	3.09	3.14	4.22	1.60	1.16
P3H4	ID_1023	0	0.00	-0.29	-0.54	-0.01	-0.14	-0.18	-0.51
CTNNB1	ID_1024	10	0.00	0.23	-0.49	-0.32	-0.65	-1.04	-1.39
EIF1B	ID_1025	41	0.00	0.62	0.47	0.93	0.72	0.59	0.25
CHRD	ID_1026	39	0.00	0.92	2.09	2.09	1.21	2.45	3.97
PSMD2	ID_1027	10	0.00	-0.19	-0.18	-0.13	-0.51	-0.70	-0.55
SYNGR3	ID_1028	49	0.00	4.21	5.89	6.26	7.16	7.31	6.77
VARS1	ID_1029	10	0.00	-0.61	-1.02	-1.11	-1.70	-2.72	-1.91
HSPA1L	ID_1031	39	0.00	-0.16	1.40		2.47	1.41	1.97
MSH5	ID_1033	12	0.00	-0.69	-1.30	-0.98	-2.23	-1.70	-1.74
ABHD16A	ID_1034	39	0.00	0.49	0.97	1.39	1.47	2.19	1.86
NEU1	ID_1035	39	0.00	0.76	1.61	1.40	2.13	2.70	2.50
DDAH2	ID_1036	10	0.00	0.55	-0.12	0.17	0.05	-2.88	-4.06
CLIC1	ID_1037	10	0.00	-0.52	-1.33	-1.19	-1.59	-2.65	-3.84
LSM2	ID_1038	10	0.00	-0.39	-1.13	-1.28	-1.39	-2.72	-3.44
POLE	ID_1039	10	0.00	-1.24	-1.90	-2.57	-2.67	-5.06	-3.28
ATP1A2	ID_1040	39	0.00	2.04	4.56	4.88	5.35	6.46	7.35
CASQ1	ID_1042	44	0.00	0.58	0.23	1.04	-0.70	-1.76	-0.20
STX1A	ID_1043	39	0.00	1.81	3.94	3.54	4.71	5.90	5.76
ZFP775	ID_1044	44	0.00	1.07	1.08	1.31	0.34	0.06	0.25
SCUBE2	ID_1045	17	0.00	-0.48	0.40	-0.33	-0.26	-0.91	-0.36
MRPL49	ID_1046	10	0.00	-0.33	-0.45	-0.57	-0.72	-0.54	-1.16
MARK3	ID_1048	44	0.00	0.47	0.55	0.74	0.57	-0.46	-0.28
M6PR	ID_1050	11	0.00	-0.34	-0.71	-0.74	-0.65	0.27	0.06
LRRC8A	ID_1051	27	0.00	0.75	1.12	0.75	-0.13	-0.55	0.62
PPP2R1A	ID_1053	49	0.00	0.51	1.19	1.10	1.23	1.18	1.24
FANCE	ID_1054	1	0.00	-0.02	-0.42	-0.01	0.37	-0.21	-0.51
TINF2	ID_1055	10	0.00	-0.67	-1.44	-1.47	-1.50	-1.53	-2.23
HAPLN4	ID_1057	39	0.00		0.98	0.99	2.47	6.19	7.44
DUS3L	ID_1058	49	0.00	0.39	0.95	1.28	1.11	0.60	1.17
GTPBP3	ID_1059	1	0.00	-1.06	-1.01	-0.58	-0.40	-0.10	-0.99
TGFBR1	ID_1060	10	0.00	-0.30	-1.02	-1.28	-2.31	-3.47	-2.92
HOMER1	ID_1061	39	0.00	0.36	0.30	0.81	0.34	2.49	3.01
RAD51C	ID_1062	10	0.00	-0.28	-0.89	-1.63	-2.14	-1.74	-3.06
GABRB2	ID_1063	39	0.00	1.56	3.03	2.43	2.71	4.06	4.87
CAV1	ID_1064	41	0.00	0.94	1.60	2.03	1.27	0.72	0.34
ARPP19	ID_1065	25	0.00	-0.66	-1.24	-1.31	-1.41	1.02	0.76
BCL2L1	ID_1066	49	0.00	1.22	1.26	1.31	1.21	1.24	1.46
KHSRP	ID_1067	10	0.00	-0.01	-0.11	-0.44	-1.52	-2.22	-0.67
DIO2	ID_1068	39	0.00		-1.92	0.40	1.47	4.93	4.45
CCT4	ID_1070	10	0.00	-0.40	-0.84	-0.83	-1.24	-2.15	-2.17
TRAPPC2B	ID_1071	34	0.00	0.34	-0.21	0.06	-0.03	0.26	-0.45
CPT1C	ID_1072	39	0.00	1.05	1.92	1.99	2.28	3.24	3.97
TWIST2	ID_1073	20	0.00	-0.44	-3.51	-3.50	-2.43	-3.08	-3.53
ZFP655	ID_1074	43	0.00	0.89	0.27	0.34	-0.45	0.60	0.51
RHOA	ID_1075	21	0.00	-0.21	-0.16	-0.39	-0.32	-0.67	-0.34
ZMIZ1	ID_1076	44	0.00	0.90	1.73	0.70	0.31	-0.88	0.35
ANKRD26	ID_1077	44	0.00	0.19	-0.15	0.30	-0.74	-1.24	-0.49
ALDH16A1	ID_1078	10	0.00	-0.07	-0.63	-0.66	-0.94	-1.37	-1.62
PRRG2	ID_1079	34	0.00	0.12	-0.29	-0.18	0.25	0.27	-0.97
HNRNPH1	ID_1080	10	0.00	-0.15	-0.58	-0.63	-1.34	-2.74	-1.85
IFT43	ID_1081	10	0.00	0.13	-1.03	-0.53	-1.23	-0.85	-1.23
ID3	ID_1082	2	0.00	-1.50	-1.80	-1.96	-1.38	-2.00	-2.37
ARID1A	ID_1084	44	0.00	0.41	0.68	-0.05	-0.92	-1.95	-0.47
CRLF1	ID_1085	19	0.00	-4.33	0.40	1.14	2.03	1.00	1.60
CTSD	ID_1086	39	0.00	0.58	1.01	1.34	1.84	2.48	1.95
RPLP1	ID_1087	10	0.00	-0.54	-1.10	-0.83	-0.41	-0.94	-1.40
HMGCLL1	ID_1089	44	0.00	1.51	2.01	1.62	1.74	0.04	1.15
TTC9B	ID_1090	49	0.00	4.07	5.47	5.83	6.31	7.02	6.35
ABHD8	ID_1092	39	0.00	0.99	1.44	1.58	2.15	3.26	2.61
IFT22	ID_1093	22	0.00	0.10	-0.24	0.16	0.30	0.82	0.19
FZD3	ID_1094	10	0.00	-0.27	-1.44	-1.98	-3.03	-2.51	-3.54
1700008O03RIK	ID_1095	49	0.00	0.84	3.86	4.57	4.17	4.11	3.77
MID1IP1	ID_1096	49	0.00	1.39	1.80	2.18	2.36	2.55	2.26
AP2S1	ID_1097	18	0.00	0.33	0.90	0.81	1.13	1.31	0.80
FGFRL1	ID_1098	11	0.00	-0.33	-1.23	-0.87	-0.69	-0.48	0.11
BRME1	ID_1099	48	0.00	0.62	0.76	0.92	0.47	0.77	0.16
FHL2	ID_1100	39	0.00	-0.61	1.42	1.02	1.52	3.00	3.04
EMC10	ID_1101	39	0.00	0.43	0.77	0.94	1.53	1.57	1.48
CLSTN3	ID_1102	39	0.00	2.39	4.25	4.03	4.85	5.27	5.81
FBXW9	ID_1103	41	0.00	0.89	1.52	1.83	2.01	0.52	0.09
FNBP4	ID_1105	44	0.00	0.21	0.26	0.15	-0.31	-1.81	0.13
CERS4	ID_1106	49	0.00	1.02	1.85	2.08	2.43	1.86	2.52
SCRN3	ID_1107	25	0.00	-0.62	-0.92	-1.38	-1.85	0.76	0.58
PHAX	ID_1108	10	0.00	-0.11	0.04	-0.06	-0.09	-0.99	-1.14
TLE1	ID_1109	44	0.00	0.69	0.33	0.10	-0.13	-0.36	-0.20
RELT	ID_1111	39	0.00	-0.68	0.25	0.40	1.06	2.64	1.97
SNRPB2	ID_1112	10	0.00	-0.19	-1.20	-1.42	-1.61	-2.69	-2.51
UBC	ID_1113	49	0.00	0.55	1.39	1.11	0.62	0.56	0.63
PRPF31	ID_1114	10	0.00	-0.31	-0.76	-0.79	-0.96	-0.92	-1.07
SERTAD1	ID_1115	11	0.00	-0.89	-0.94	-2.00	-1.17	0.33	-0.24
CARHSP1	ID_1116	44	0.00	0.60	0.47	0.25	-0.12	-1.83	-1.16
ELK3	ID_1117	17	0.00	-0.71	-0.02	-0.46	-0.91	-1.80	-1.36
HERPUD2	ID_1118	39	0.00	0.51	0.72	0.72	0.46	0.72	1.22
RDH13	ID_1119	44	0.00	0.23	0.30	0.55	0.39	-0.92	-0.15
ADAM21	ID_1120	19	0.00	-0.16	0.40	1.40	0.47	0.41	-¡Þ
NUTF2	ID_1121	10	0.00	-0.40	-1.03	-1.17	-1.46	-2.31	-2.36
ARPC5	ID_1122	41	0.00	0.52	0.78	1.01	0.99	0.08	0.19
ELAVL2	ID_1124	44	0.00	1.55	1.71	1.39	0.85	-0.15	-0.04
MGST1	ID_1126	16	0.00	-0.38	-0.14	-0.73	0.30	-0.92	-1.08
NFIB	ID_1127	49	0.00	3.80	3.96	4.62	3.10	1.75	3.09
UBQLN4	ID_1129	30	0.00	0.32	0.59	0.44	-0.03	0.02	0.95
RBFOX1	ID_1130	49	0.00	5.57	8.10	7.79	7.76	8.19	8.94
RPS18	ID_1131	10	0.00	-0.36	-1.10	-1.07	-1.04	-2.14	-2.62
RPL10	ID_1132	10	0.00	-0.24	-0.81	-0.85	-1.31	-2.41	-2.11
RPS15A	ID_1133	10	0.00	-0.12	-1.22	-1.01	-0.91	-2.07	-2.98
NCAPH2	ID_1134	20	0.00	-0.05	-0.67	-0.38	-0.61	-0.62	-0.56
HIPK1	ID_1135	30	0.00	0.63	0.56	0.28	-0.32	-0.26	1.35
GPRC5B	ID_1136	25	0.00	0.54	0.44	0.02	0.12	2.31	2.35
MAN1A2	ID_1137	30	0.00	0.04	0.77	0.37	0.03	0.73	1.45
ACYP1	ID_1139	22	0.00	0.61	0.03	-0.04	0.16	0.97	0.06
HDAC5	ID_1142	49	0.00	1.25	1.50	1.64	1.33	1.74	2.03
RALA	ID_1143	41	0.00	0.62	0.98	1.22	1.05	-0.21	-0.36
VDAC3	ID_1144	16	0.00	-0.12	-0.14	0.06	0.19	-0.39	-0.75
VPS72	ID_1145	10	0.00	0.51	0.19	0.00	-0.38	-1.78	-1.91
GABPA	ID_1146	10	0.00	-0.28	-0.70	-0.71	-1.18	-2.34	-1.45
BMP7	ID_1147	10	0.00	-0.38	-0.29	-0.07	-1.09	-2.28	-1.48
DYNLL1	ID_1148	0	0.00	-0.21	-0.58	-0.43	-0.51	-0.03	-0.51
PDCL	ID_1149	10	0.00	0.48	-0.14	-0.09	-0.76	-1.48	-1.02
TMEM184B	ID_1150	25	0.00	-0.02	0.20	-0.00	-0.35	0.19	0.35
NF2	ID_1152	41	0.00	0.80	1.42	1.33	1.02	-0.03	0.50
CABP7	ID_1153	39	0.00	2.01	2.72	4.36	4.00	6.86	7.81
ZMAT5	ID_1154	22	0.00	-0.06	-0.43	-0.32	0.32	0.40	-0.47
EWSR1	ID_1155	10	0.00	0.23	-0.14	-0.18	-0.88	-1.68	-0.92
AP1B1	ID_1156	39	0.00	0.83	1.90	1.40	1.57	1.90	2.20
DERL3	ID_1157	25	0.00	-0.75	-0.19	-0.18	-1.11	2.29	2.19
TBX1	ID_1159	8	0.00	-3.16	-0.43	-0.43	-1.53	-2.59	-1.03
BCL2L13	ID_1161	10	0.00	-0.21	-0.53	-0.68	-0.72	-0.99	-0.83
LNPK	ID_1166	40	0.00	0.12	0.84	0.26	-0.13	0.60	1.01
RARRES2	ID_1172	39	0.00	2.71	3.27	3.34	4.25	5.38	4.47
PTTG1IP	ID_1173	18	0.00	0.08	0.48	0.36	0.60	0.43	0.29
TRPM2	ID_1174	39	0.00	2.16	3.57	1.99	2.47	4.80	5.92
MET	ID_1177	18	0.00	-1.90	1.25	1.25	1.61	2.18	0.23
SLC16A12	ID_1178	27	0.00	0.10	0.40	0.40	-0.53	-0.59	0.45
SYN2	ID_1179	39	0.00	2.93	5.57	5.85	6.25	8.02	8.28
ELK1	ID_1180	39	0.00	0.99	0.91	1.06	1.23	1.75	2.40
NAV1	ID_1181	49	0.00	1.00	2.93	2.36	1.86	0.58	2.03
TNPO1	ID_1182	10	0.00	-0.27	-0.67	-1.30	-2.19	-3.08	-2.27
RNMT	ID_1184	20	0.00	0.02	-0.97	-0.61	-0.79	-0.62	-0.98
KCNQ1	ID_1185	41	0.00	0.42	1.72	1.72	0.47	-0.59	-0.03
SRP14	ID_1186	34	0.00	0.32	-0.06	0.13	0.32	0.28	-0.27
6330409D20RIK	ID_1187	49	0.00	3.75	4.72	4.10	4.56	3.22	1.97
TOR2A	ID_1189	16	0.00	-0.32	-0.21	-0.31	-0.15	-0.55	-0.70
FPGS	ID_1190	17	0.00	-0.48	0.23	-0.05	0.27	-1.62	-0.83
MRTFB	ID_1191	25	0.00	-0.51	0.02	0.17	-0.19	2.01	3.44
CBX5	ID_1192	10	0.00	-0.06	-0.17	-0.87	-2.10	-2.89	-1.07
APOBEC3	ID_1193	0	0.00	-0.75	-1.19	-0.96	-1.70	-0.44	-2.20
SARDH	ID_1195	49	0.00	1.98	2.16	2.40	2.32	1.41	2.73
VAV2	ID_1196	44	0.00	0.78	0.81	0.69	0.08	-1.64	-1.95
PPP2CB	ID_1198	49	0.00	0.49	0.60	0.77	0.83	0.84	0.66
G0S2	ID_1199	39	0.00	0.50	0.90	1.07	1.84	2.50	1.97
DMAP1	ID_1200	16	0.00	-0.00	0.05	0.25	0.40	-0.23	-0.84
MCU	ID_1202	49	0.00	0.37	1.45	1.40	1.08	0.80	1.60
BCR	ID_1205	49	0.00	1.01	2.38	1.73	0.83	0.33	2.01
FXYD5	ID_1206	19	0.00	-0.43	0.27	1.48	0.70	0.57	0.64
KCND1	ID_1207	49	0.00	2.01	2.86	2.86	3.47	3.22	3.97
TFCP2	ID_1208	44	0.00	0.74	0.91	0.37	0.19	-0.99	0.17
POU6F1	ID_1210	49	0.00	2.73	3.21	3.09	2.56	2.27	3.38
UBP1	ID_1211	44	0.00	0.34	0.61	0.40	-0.22	-1.11	-0.06
NUAK2	ID_1212	10	0.00	0.08	-0.85	-1.54	-2.72		-3.34
CILK1	ID_1213	31	0.00	0.79	1.79	1.17	0.16	-0.35	-0.38
SDHB	ID_1214	18	0.00	-0.01	-0.11	0.06	0.56	0.64	-0.21
COX4I2	ID_1215	15	0.00	-0.25	1.04	0.31	0.17	1.36	-0.03
SNAP47	ID_1216	39	0.00	0.73	1.81	1.93	2.17	2.49	2.41
KDSR	ID_1218	30	0.00	0.23	1.00	0.30	0.66	0.64	1.43
VPS4B	ID_1219	12	0.00	-0.20	-0.69	-0.60	-1.22	-0.95	-0.70
RPS25	ID_1220	10	0.00	-0.36	-1.23	-0.92	-0.95	-1.83	-1.92
TAFAZZIN	ID_1222	30	0.00	0.02	0.14	-0.34	-0.76	-0.23	0.49
KIF19A	ID_1223	46	0.00		2.40	0.40	3.06	3.87	3.55
ALDH3A2	ID_1224	39	0.00	0.05	0.51	0.91	0.97	1.19	1.17
ZMYND10	ID_1225	49	0.00	2.84	3.21	3.10	3.93	2.41	2.97
TMEM115	ID_1226	49	0.00	0.68	1.07	0.83	1.40	0.88	0.82
HYAL2	ID_1227	10	0.00	0.06	-0.67	-0.51	-0.48	-2.25	-2.78
IFRD2	ID_1228	10	0.00	-0.78	-1.03	-1.34	-1.48	-2.02	-1.93
HYAL1	ID_1229	49	0.00	1.16	1.40	1.72	1.35	0.15	2.38
TUSC2	ID_1230	39	0.00	0.11	0.25	0.59	1.09	1.63	1.00
NPRL2	ID_1231	39	0.00	0.57	0.56	1.07	1.06	1.21	0.88
SLC38A3	ID_1232	39	0.00	0.87	2.20	2.09	3.14	3.32	3.22
CACNA2D2	ID_1233	49	0.00	1.90	3.45	2.60	3.00	1.32	1.24
RASSF1	ID_1234	17	0.00	-0.39	-0.02	-0.16	-0.24	-1.49	-0.98
EPN3	ID_1235	22	0.00	-1.16	-0.60	0.40	0.47	2.32	0.55
RNF112	ID_1236	39	0.00	3.54	5.42	5.65	6.34	7.65	8.65
SLC3A2	ID_1237	18	0.00	0.31	0.70	0.91	1.27	1.10	0.64
NXF1	ID_1238	34	0.00	0.36	0.14	0.32	0.34	0.07	-0.64
STX5A	ID_1239	37	0.00	0.45	0.40	0.27	0.79	0.24	0.14
CIMAP3	ID_1241	41	0.00	1.54	2.57	2.99	2.93	1.41	-0.03
TNFRSF13B	ID_1242	24	0.00	0.84	0.81	-0.18	1.21	-0.17	2.19
SPIRE2	ID_1243	49	0.00	2.46	2.72	2.50	3.36	2.18	1.58
PROX1	ID_1244	27	0.00	0.16	0.86	0.86	0.28	-1.00	0.97
RAVER1	ID_1245	10	0.00	-0.14	-0.42	-0.86	-1.57	-2.64	-1.22
BLTP2	ID_1246	30	0.00	-0.09	0.31	0.06	-0.32	0.31	1.01
AI597479	ID_1247	10	0.00	0.19	0.11	-0.06	-0.33	-0.95	-0.66
TMEM86A	ID_1248	48	0.00	1.53	2.46	2.38	2.90	3.14	2.00
OPTC	ID_1249	47	0.00	1.77	1.54	1.40	1.47	-0.33	-1.36
IFI35	ID_1251	22	0.00	0.42	-0.60	-0.01	1.28	1.87	0.55
RDM1	ID_1252	10	0.00	0.50	-1.15	-0.96	-1.49	-2.14	-1.49
NEDD8	ID_1253	34	0.00	-0.13	-0.47	-0.27	-0.17	-0.36	-0.92
GOSR1	ID_1254	40	0.00	0.69	0.97	1.03	0.33	0.44	0.94
MRPL52	ID_1255	16	0.00	-0.10	0.06	0.12	0.11	-0.81	-1.30
KANSL3	ID_1257	19	0.00	-0.05	0.26	0.62	0.21	-0.13	0.54
EYA4	ID_1258	21	0.00	-0.65	-1.41	-2.08	-1.53	-2.81	-1.03
EBF3	ID_1259	17	0.00	1.34	3.47	1.38	0.54	-3.71	-¡Þ
MYT1	ID_1261	44	0.00	2.23	1.55	0.85	-0.53	-1.99	-1.72
FAF1	ID_1262	44	0.00	0.12	-0.05	0.02	-0.16	-1.17	-0.73
TSACC	ID_1263	0	0.00	-0.68	-1.49	-0.87	-0.98	0.41	-1.55
METTL16	ID_1264	10	0.00	-0.13	-0.40	-0.60	-1.59	-1.53	-1.23
DAZL	ID_1265	23	0.00	-2.16	-1.60	-0.60	-0.53	0.73	2.97
PIGYL	ID_1267	39	0.00	0.38	0.19	0.76	1.14	1.32	0.61
RBM25	ID_1268	10	0.00	0.01	-0.09	-0.18	-0.53	-1.31	-0.82
PSEN2	ID_1269	39	0.00	1.22	2.21	2.03	2.80	2.90	2.69
ACAA1B	ID_1270	36	0.00	0.84	-1.19	1.62	2.35	-0.17	0.97
PLCD1	ID_1271	12	0.00	-0.03	-0.47	-0.16	-0.55	-0.92	-0.01
FADS1	ID_1272	30	0.00	0.23	0.61	0.47	0.17	-0.04	0.63
LMBR1	ID_1273	49	0.00	0.02	1.45	1.52	1.61	1.18	1.45
TNFRSF22	ID_1274	10	0.00	-0.45	-0.25	-1.06	-1.40	-3.05	-¡Þ
CARS1	ID_1275	17	0.00	-0.05	0.29	0.22	0.36	-0.69	-0.38
WNT2	ID_1278	39	0.00	-2.16		-0.60	1.06	2.58	3.36
GABRA1	ID_1279	39	0.00	2.90	4.21	4.28	4.32	7.99	8.35
KDELR3	ID_1280	34	0.00	-0.20	-1.23	-0.16	-0.81	-1.09	-3.12
APIP	ID_1282	43	0.00	0.08	-0.30	-0.26	-0.60	-0.16	-0.42
PDHX	ID_1283	18	0.00	0.18	0.85	0.86	1.51	1.75	0.93
VAC14	ID_1284	17	0.00	-0.01	0.90	0.66	0.59	-0.69	0.53
AKT1S1	ID_1287	37	0.00	0.47	0.19	0.44	0.52	0.25	0.10
TBRG1	ID_1288	10	0.00	-0.46	-0.41	-0.40	-0.63	-0.79	-1.11
ADSS1	ID_1289	39	0.00	-0.75	0.81	0.72	1.75	3.29	3.11
CFAP161	ID_1290	25	0.00	0.84	1.40	1.99	0.47	3.41	2.97
BRF1	ID_1291	47	0.00	0.40	0.47	0.33	0.17	0.03	-0.07
VIPR2	ID_1292	16	0.00	-0.58	0.86	-0.28		-1.00	-2.03
ODC1	ID_1293	10	0.00	-0.48	-1.22	-0.92	-1.24	-2.73	-2.53
THG1L	ID_1294	10	0.00	-0.58	-1.26	-1.53	-1.42	-2.24	-1.84
ADAM19	ID_1295	38	0.00	0.17	1.70	0.67	0.43	0.19	0.88
PABPC4	ID_1296	10	0.00	-0.67	-0.30	-0.86	-1.02	-2.24	-1.89
EXOC3L2	ID_1297	4	0.00	-1.16	-1.34	0.08	-0.53	-0.59	-¡Þ
SUGP1	ID_1300	49	0.00	0.74	0.83	0.87	0.85	0.54	0.81
DHDH	ID_1303	5	0.00	0.06	0.72	-0.18	-2.11	-0.37	1.08
ZFP790	ID_1304	27	0.00	0.52	0.78	0.78	-1.25	-1.46	-0.17
FSD1	ID_1307	49	0.00	0.64	1.77	1.85	2.39	1.46	1.00
FUZ	ID_1309	23	0.00	-0.02	-0.39	-0.04	-0.07	0.52	0.97
SPTBN4	ID_1310	39	0.00	0.58	3.90	3.28	3.64	5.10	6.24
PGAM1	ID_1311	22	0.00	-0.45	-0.63	-0.44	-0.32	0.51	0.13
EVI5	ID_1312	27	0.00	-0.46	-0.22	-0.12	-0.92	-0.54	0.49
EVI5L	ID_1313	49	0.00	2.29	3.40	3.52	3.59	2.78	2.79
SNAPC2	ID_1314	41	0.00	0.26	0.31	0.51	0.52	0.13	-0.21
GIT1	ID_1315	39	0.00	0.55	1.15	1.01	0.98	1.60	2.86
GLTP	ID_1316	25	0.00	-0.34	-0.39	-1.24	-0.96	0.76	0.67
BNIP2	ID_1317	10	0.00	-0.28	-0.70	-0.41	-0.79	-1.72	-1.98
CCNT1	ID_1318	13	0.00	-1.62	-2.06	-1.47	-0.18	-1.05	0.09
SCARF2	ID_1319	10	0.00	-1.22	-1.29	-0.75	-1.35	-2.42	-2.18
BRMS1L	ID_1321	39	0.00	0.05	0.51	0.64	0.19	0.82	0.83
MED15	ID_1322	30	0.00	0.09	0.75	0.42	-0.02	0.13	0.87
DHDDS	ID_1323	39	0.00	0.44	1.27	0.95	1.30	1.40	1.75
CRYBG2	ID_1324	19	0.00	-1.75	0.40	1.14	1.70	0.83	1.70
UBXN11	ID_1325	39	0.00	1.22	1.40	2.17	3.01	2.41	2.45
MOGAT1	ID_1326	22	0.00	0.84	0.40		1.47	3.58	0.97
TJAP1	ID_1328	12	0.00	-0.68	-1.36	-1.47	-1.89	-1.50	-1.20
RPL15	ID_1330	10	0.00	-0.26	-1.07	-0.75	-0.57	-1.70	-2.68
TMEM167	ID_1331	10	0.00	-0.41	-1.38	-1.48	-1.44	-1.26	-1.99
MPLKIP	ID_1333	10	0.00	0.32	-0.51	-0.40	-0.21	-1.23	-1.81
KIF11	ID_1334	10	0.00	-0.52	-2.65	-2.76	-3.88	-8.03	-5.89
RPA3	ID_1335	10	0.00	-0.12	-1.51	-1.34	-1.29	-2.07	-3.42
TNPO3	ID_1338	10	0.00	-0.17	-0.41	-0.52	-0.90	-1.30	-0.74
TTLL5	ID_1339	39	0.00	-0.62	-0.06	0.00	-0.15	0.52	0.76
ZFP715	ID_1340	36	0.00	0.53	0.43	0.86	0.79	0.12	0.67
RETN	ID_1341	46	0.00	1.42	1.40	0.40	2.06	2.00	-¡Þ
CDH23	ID_1343	41	0.00	2.16	1.98	2.72	2.47	0.41	0.97
RPS5	ID_1344	10	0.00	-0.22	-0.99	-0.78	-0.82	-2.25	-2.56
ADGRL1	ID_1345	49	0.00	1.89	3.10	2.75	2.36	2.32	3.19
AMOTL1	ID_1346	10	0.00	-0.49	-0.27	-0.76	-1.64	-1.65	-2.05
ETV5	ID_1348	39	0.00	-0.33	0.10	0.42	0.28	1.28	2.55
GFOD2	ID_1350	41	0.00	1.50	2.12	2.03	1.88	1.00	0.07
ENKD1	ID_1351	3	0.00	-0.41	-1.81	-0.63	-0.13	-1.80	-1.03
ATP6V0D1	ID_1353	39	0.00	1.03	1.72	1.92	1.92	2.43	2.37
PTPRS	ID_1354	49	0.00	1.51	1.61	1.57	0.83	0.18	1.57
SLC41A1	ID_1355	39	0.00	0.36	0.62	1.19	1.16	1.32	1.47
IGLON5	ID_1357	41	0.00	1.89	3.20	2.69	2.45	0.53	1.20
IGF2BP1	ID_1358	10	0.00	-1.18	-2.69	-3.87	-5.94	-8.32	-¡Þ
ZBTB47	ID_1359	39	0.00	0.90	2.03	2.18	2.04	2.60	2.73
NELFB	ID_1360	17	0.00	0.07	0.56	0.33	0.10	-0.51	-0.25
TMEM175	ID_1362	39	0.00	-0.50	-0.43	0.40	0.21	0.98	0.97
TANGO2	ID_1364	39	0.00	0.57	0.82	1.20	1.75	2.88	2.15
ALDH1A2	ID_1365	41	0.00	2.22	3.03	3.51	3.40	2.55	1.45
NDUFS2	ID_1366	22	0.00	0.03	-0.14	0.01	0.39	0.94	-0.13
ATRAID	ID_1368	39	0.00	0.80	0.87	1.03	1.28	1.43	1.19
CAD	ID_1369	10	0.00	-0.81	-0.75	-1.22	-1.86	-3.19	-2.45
SH3BP5L	ID_1371	39	0.00	0.36	0.40	0.59	0.97	1.03	0.60
ATAD1	ID_1373	43	0.00	0.62	0.31	0.16	-0.20	-0.24	0.30
PTEN	ID_1374	49	0.00	1.11	1.79	1.58	1.09	1.60	2.23
PEA15A	ID_1376	39	0.00	0.66	0.41	0.93	0.97	1.07	0.93
TIMM23	ID_1377	2	0.00	-0.57	-0.93	-0.86	-0.50	-0.35	-1.09
TNFAIP8L2	ID_1378	13	0.00	-1.16	-0.02	-1.60	1.28	1.58	1.29
TRNT1	ID_1379	10	0.00	-0.00	-0.61	-0.57	-0.31	-0.76	-0.96
EHMT2	ID_1381	44	0.00	0.72	0.87	0.99	0.64	-0.47	0.36
ELOF1	ID_1382	16	0.00	-0.30	-0.62	-0.46	-0.25	-0.41	-1.28
MED16	ID_1383	17	0.00	0.07	0.28	0.32	0.18	-0.55	-0.10
ST3GAL1	ID_1384	19	0.00	-0.01	0.80	1.32	0.42	-0.31	0.55
TMEM259	ID_1385	39	0.00	0.34	0.62	0.77	1.12	1.19	0.74
RNF170	ID_1386	25	0.00	-0.05	0.40	0.53	0.02	0.73	0.85
CLIP3	ID_1387	39	0.00	1.36	2.18	2.08	2.02	2.27	3.20
MYL2	ID_1388	7	0.00	-7.41	0.73	-5.85	-2.82	-5.25	-7.28
DEDD	ID_1389	44	0.00	0.43	0.51	0.63	0.13	-0.23	-0.12
NIT1	ID_1391	39	0.00	0.25	0.40	0.66	0.52	0.54	0.79
PRDM15	ID_1393	44	0.00	0.46	0.86	0.62	-0.20	-1.17	0.19
RNF168	ID_1394	21	0.00	-0.24	-0.54	-0.73	-0.80	-1.68	-0.59
DYNLT2B	ID_1395	16	0.00	-0.03	-0.12	-0.01	0.53	-0.15	-0.81
CHP1	ID_1396	25	0.00	-0.21	-0.19	0.13	-0.41	0.85	1.14
TRPV4	ID_1398	39	0.00	-0.16		0.99	2.28	1.41	1.97
TVP23B	ID_1400	6	0.00	-0.15	0.00	-0.19	-0.17	0.46	0.08
