gene_name	E10.5_Brain	E12.5_Brain	E14.5_Brain	E16.5_Brain	P0_Brain	P21_Brain	8W_Brain
Cbx1	266.1066567	214.9511888	114.3237404	97.36633986	58.81423541	30.64563355	37.6741635
Cdk5rap3	66.40137854	63.88017603	43.61483737	57.95615468	68.55860578	31.31184297	25.44229223
Copz2	20.04569918	11.4311894	6.938724127	10.92887488	6.612251318	8.660722524	11.25332156
Slc25a39	101.7319234	88.98396451	111.019586	97.69751789	104.7519814	84.27549225	83.17672461
Sp2	11.77684827	14.12088102	11.23412478	9.935340802	6.960264546	4.996570687	12.23187127
Aatf	29.81797753	25.55207041	27.42448107	26.16306411	23.31688623	8.660722524	10.27477186
Lhx1	7.015994714	40.79365627	66.08308693	18.5459695	18.79271427	0.666209425	0
Dync1h1	65.14852234	99.742731	262.3498551	128.8282524	96.39966396	107.9259268	258.826396
Cpsf4l	0.25057124	0	0.330415435	0	0	0	0
Pex12	7.767708433	10.53462552	11.23412478	14.57183318	7.656291	5.995884824	8.806947311
Ndel1	29.56740629	47.7420263	62.77893258	82.13215063	97.79171687	131.5763614	95.89787072
Slc25a35	0.751713719	0	0.660830869	0.99353408	1.392052909	4.330361262	4.892748506
Zbtb4	1.503427439	3.362114528	9.25163217	12.58476502	13.92052909	31.64494768	53.82023357
Tnfsfm13	1.753998678	1.120704843	2.643323477	2.649424214	4.176158727	7.661408387	7.33912276
Mpdu1	52.36938911	64.55259894	76.3259654	84.45039682	115.5403915	79.94513099	57.24515752
Fxr2	50.3648192	65.44916281	56.17062389	51.33259414	68.906619	58.95953411	85.62309886
Atp5mc3	755.4722879	686.7679276	829.3427409	874.9723466	1133.131068	1309.767729	735.8693754
Cd68	5.512567275	7.62079293	9.912463039	12.25358699	8.352317455	16.32213091	16.14607007
Slc35g3	0	0.224140969	0.330415435	0.331178027	0	0	0
Acsl1	4.760853556	4.258678402	21.80741869	16.22772331	21.92483332	30.97873826	34.7385144
Abca5	2.756283638	2.689691622	11.89495565	14.24065515	15.312582	18.6538639	36.20633895
Smyd4	6.765423474	5.155242276	6.938724127	9.272984749	5.568211637	7.328303674	11.74259642
Lsp1	14.78370315	6.500088087	6.277893258	6.623560535	4.176158727	5.662780112	7.82839761
Zfyve27	8.268850913	21.74167395	24.12032673	32.78662465	29.58112432	33.31047125	25.93156708
Avpi1	7.767708433	6.05180615	2.973738912	4.636492374	12.18046296	56.29469641	28.37794134
Sfrp5	0.25057124	0	2.643323477	2.649424214	3.480132273	1.33241885	1.467824552
Myh11	0	0.224140969	0.991246304	1.324712107	0.696026455	1.665523562	1.957099403
Rad51d	9.271135872	8.965638741	6.608308693	9.604162775	5.568211637	11.99176965	8.806947311
Fndc8	0	0.224140969	0	0	0	0	0
Unc45b	1.252856199	0.224140969	1.321661739	1.324712107	1.392052909	0	1.957099403
Pank3	54.37395903	97.05303937	101.4375384	91.73631341	49.41787827	42.97050791	36.6956138
Rars1	154.3518837	107.139383	70.37848758	69.21620759	67.86257932	49.63260216	43.05618686
Wwc1	15.78598811	23.98308363	40.97151389	49.34552598	38.281455	44.30292676	64.09500543
Mrpl58	113.0076291	98.17374422	71.03931845	64.91089324	68.21059255	66.62094249	46.97038566
Fdxr	7.015994714	11.87947133	14.86869456	18.5459695	13.92052909	11.32556022	18.10316947
Otop3	0	0	0	0.99353408	1.392052909	0	0
Sult4a1	7.767708433	28.465903	82.60385866	119.8864457	161.1301242	520.9757703	407.5659506
Pnpla5	0	0	0	0	0	0	0
Mrpl45	39.59025589	29.81074881	24.45074216	33.11780267	28.18907141	29.64631941	22.99591798
Mb	0.50114248	0	32.38071259	0	0.696026455	0.999314137	0.489274851
Irf1	1.753998678	1.344845811	3.634569781	1.655890134	2.088079364	2.6648377	4.403473656
Slc22a5	6.013709755	5.603524213	11.23412478	11.92240896	9.744370364	7.328303674	9.785497013
P4ha2	12.02741951	4.482819371	4.625816085	7.285916588	4.176158727	6.662094249	10.27477186
Alox12e	0	0	0	0	0	0.333104712	0
Arrb1	19.29398546	25.77621138	71.36973388	60.27440087	50.80993118	66.62094249	123.7865372
Csf2	0	0	0	0	0	0	0
Tm4sf5	0	0.448281937	2.312908042	4.636492374	10.09238359	1.998628275	0
Cxcl16	0.25057124	0.672422906	3.304154346	2.649424214	2.088079364	1.998628275	1.467824552
Pelp1	36.83397225	29.81074881	41.9627602	31.46191254	20.88079364	11.32556022	21.52809343
Med11	37.83625721	33.62114528	27.09406564	25.50070806	35.49734918	11.99176965	17.12461977
Alox15	0	0	0	0	0	0	0
Heatr9	0	0	0	0	0	0	0
Ccl6	0.50114248	0.448281937	0.991246304	1.324712107	1.044039682	4.996570687	1.467824552
Ccl4	1.252856199	0.224140969	0.330415435	0.662356053	1.044039682	0.999314137	0.489274851
Natd1	23.05255406	40.79365627	60.46602454	43.71549953	29.58112432	12.99108379	9.296222162
Map2k3	26.05940894	16.13814973	12.55578652	15.89654528	17.74867459	9.326931949	9.785497013
